// According to fewest_remaining_solutions(…) / number of solutions = expected number of remaining solutions after guess
  240.  88.51 'sarin'
  241.  88.55 'glare'
  242.  88.57 'nerol'
  243.  88.64 'sated'
  244.  88.64 'sager'
  245.  88.64 'arsed'
  246.  88.66 'rated'
  247.  88.66 'ayres'
  248.  88.72 'rased'
  249.  88.75 'rotal'
  250.  88.77 'train'
  251.  88.89 'prase'
  252.  88.90 'osier'
  253.  88.92 'rials'
  254.  88.92 'riant'
  255.  88.95 'lotes'
  256.  88.98 'leary'
  257.  88.98 'corse'
  258.  88.99 'antes'
  259.  89.04 'adore'
  260.  89.05 'loner'
  261.  89.14 'heart'
  262.  89.27 'raits'
  263.  89.28 'laris'
  264.  89.29 'plate'
  265.  89.32 'stile'
  266.  89.37 'derat'
  267.  89.42 'taper'
  268.  89.43 'liers'
  269.  89.47 'potae'
  270.  89.49 'clote'
  271.  89.53 'pareo'
  272.  89.67 'cates'
  273.  89.70 'slade'
  274.  89.72 'taros'
  275.  89.73 'pater'
  276.  89.81 'argle'
  277.  89.85 'taces'
  278.  89.94 'sayne'
  279.  89.95 'claes'
  280.  90.01 'maise'
  281.  90.02 'aired'
  282.  90.06 'oared'
  283.  90.12 'palet'
  284.  90.12 'rimae'
  285.  90.17 'armet'
  286.  90.17 'large'
  287.  90.23 'arled'
  288.  90.33 'paise'
  289.  90.33 'rouse'
  290.  90.44 'isnae'
  291.  90.51 'triol'
  292.  90.51 'morae'
  293.  90.55 'liars'
  294.  90.56 'resto'
  295.  90.56 'ureas'
  296.  90.63 'sabre'
  297.  90.64 'ourie'
  298.  90.71 'loast'
  299.  90.72 'ramet'
  300.  90.72 'terns'
  301.  90.79 'lyase'
  302.  90.82 'paler'
  303.  90.90 'lance'
  304.  90.91 'halse'
  305.  90.96 'shale'
  306.  91.02 'tiars'
  307.  91.11 'pearl'
  308.  91.11 'recta'
  309.  91.16 'noise'
  310.  91.25 'maile'
  311.  91.34 'dealt'
  312.  91.40 'lathe'
  313.  91.45 'teloi'
  314.  91.48 'score'
  315.  91.49 'louie'
  316.  91.54 'spare'
  317.  91.72 'noter'
  318.  91.74 'years'
  319.  91.84 'tased'
  320.  91.94 'ceorl'
  321.  91.97 'gater'
  322.  92.00 'yearn'
